scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Financial Assistance for Natural Death,fafnd,"The scheme “Financial Assistance for Natural Death” was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under the scheme, the Board provides financial assistance of ₹2,00,000/- to the legal heir of a registered worker who dies due to natural death.","Financial assistance of ₹2,00,000/- is provided by the Board to the legal heir of a registered worker who dies due to natural death. ﻿ ﻿",The applicant should be the legal heir of the deceased construction worker. The deceased construction worker should be registered under the Maharashtra Building and Other Construction Workers' Welfare Board. The death of the deceased worker must be due to natural death. ﻿ ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Death Certificate (Issued by competent medical authorities). Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Natural Death, Construction Worker, Legal Heir"
Financial Assistance for Normal Delivery and Surgical Delivery,fandsd,"The Financial Assistance for Normal Delivery and Surgical Delivery scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme aims to provide financial assistance for natural delivery and delivery by cesarean operation to the wife of a registered male worker and/or to the registered female worker.","Financial Assistance For: Normal Delivery- ₹15,000/- Surgical Delivery- ₹20,000/- ﻿ ﻿",The applicant should be a registered women construction worker under the MBOCWW or the wife of a registered male worker. The applicant should be Pregnant. Benefit is available for the first two deliveries only. ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿",Passport-size Photo Aadhaar Card Identity Card of Maharashtra Building and Other Construction Workers Welfare Board Bank Passbook Natural/Surgical Maternity Certificate (issued by competent medical authorities) Medical Treatment Payments Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate) ﻿ ﻿,State,Women and Child,,"Financial Assistance, Pregnant, Construction Worker, Normal Delivery, Surgical"
Financial Assistance for Widow or Widower of Registered Construction Worker,fawwrcw,"The “Financial Assistance for Widow or Widower of Registered Construction Worker” scheme was implemented by the Maharashtra Building and Other Construction Workers Welfare Board. Under this scheme, financial assistance of ₹24,000/- p.a. up to 5 years to the widow or widower in case of death of a registered worker during the course of employment.","Financial assistance of ₹24,000/- per annum up to 5 years to the widow or widower.",The applicant should be the widow or widower of a deceased construction worker. The deceased worker must have been registered with the Maharashtra Building and Other Construction Workers Welfare Board. ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo Aadhaar Card Identity Card of Maharashtra Building and Other Construction Workers Welfare Board Bank Passbook Death Certificate (Issued by competent medical authorities) Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate) ﻿ ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Widow, Widower, Death, Construction Worker"
Financial Assistance to 75% or Permanent Disability,fat75opd,"The scheme Financial Assistance to 75% or Permanent Disability was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labor Department Maharashtra. Under the scheme, financial assistance of ₹2,00,000/- to the registered worker in case of 75 % or more permanent disability (the benefit can be availed only after 26th July 2014 as the benefit is covered under the Mediclaim & Personal Accident Insurance scheme).","Financial assistance of ₹2,00,000/- is provided by the Board to the registered worker for 75% or more permanent disability. ﻿ ﻿",The worker must be engaged in building or construction work. The worker should be registered under the Maharashtra Building and Other Construction Workers Welfare Board (MBOCWW). The worker should have a 75% or permanent disability. ﻿ ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo Aadhaar Card Identity Card of Maharashtra Building and Other Construction Workers Welfare Board Bank Passbook Disability Certificate (issued by competent medical officer/board) Medical Treatment Payments Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate) ﻿ ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Disability, Construction Worker, Medical Treatment"
Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj),fatnukyv,"The scheme ""Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj)"" was launched by the Department of Social Justice & Special Assistance, Government of Maharashtra. The scheme aims to reduce the economic, social, and educational backwardness of Scheduled Castes, Freed Castes, Nomadic Tribes, and Special Backward Classes in Maharashtra, helping integrate them into the mainstream of society. The grant is provided for the first marriage of both the bride and groom of these communities.","A financial assistance of ₹10,000/- is provided to couples who participate in mass marriage ceremonies. An incentive grant of ₹2,000/- per couple is offered to institutions and organizations that organize mass marriage ceremonies for these communities.","The bride and the groom must be residents of Maharashtra. The groom should not be less than 21 years of age. The bride should not be less than 18 years of age. The grant is only admissible for the first marriage of the bride and groom, however, it is also admissible to a widow for her second marriage. Either or both of the bride and groom must belong to Scheduled Castes (including Neo-Buddhists), Vimukta Castes, Nomadic Tribes (including Dhangars and Vanjaris), or Special Backward Classes.","Step 1: The interested applicant should visit (during office hours) the District Social Welfare Office and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the Assistant Commissioner or to the Social Welfare Officer of the District Social Welfare Office. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Identity Proof (Aadhaar Card, Voter Card, etc.). Passport-size Photograph. ﻿ ﻿ Proof of Residence. Ration Card. Bank Account Details. Proof of Age. Marriage Certificate. A written affidavit must be submitted by the couple/family, stating that there has been no violation of any section under the Prevention of Child Marriage Act and the Prevention of Dowry Act. A caste certificate issued by a competent and authorized officer must be provided.",State,"Women and Child, Social welfare & Empowerment",,"Marriage, Backward Class, Nomadic Tribe, Bride, Groom"
First Self Marriage Expenses,fsme,"The ""First Self Marriage Expenses"" scheme was implemented by the Maharashtra Building and Other Construction Workers' Welfare Board, Labour Department Government of Maharashtra. Under this scheme, financial assistance of ₹30,000/- towards the first self-marriage expenses to the registered worker. ﻿","Financial assistance of ₹30,000/- provided to registered construction worker for first marriage expenses. ﻿ ﻿",The applicant should be engaged in building or construction work. The applicant should be registered under the Maharashtra Building and Other Construction Workers Welfare Board. ﻿ ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). Marriage Certificate. Affidavit for First Marriage. ﻿ ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Marriage, Construction Worker, Labour"
Funeral Assistance,fa,"The scheme “Funeral Assistance” is implemented by the Maharashtra Building and Other Construction Workers Welfare Board (MBOCWW), Labour Department, Government of Maharashtra. Under this scheme, the Board provides financial assistance for funeral expenses to the nominated heir of a registered worker in the event of their death.","In case of the death of a registered worker, an amount of ₹10,000/- is payable as funeral assistance to the nominated heir.",The applicant should be a nominee/legal heir of the deceased worker. The deceased worker should have been registered with the Maharashtra Building & Other Construction Workers Welfare Board. ﻿ ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Death Certificate (Issued by competent medical authorities). Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Construction Worker, Labour, Funeral Expense, Nominated Heir"
Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana,gopinath-munde-shetkari-apghat-suraksha-sanugrah-audhan-yojana,Farmers are prone to various accidents while performing farming business. Due to death/ disability of earning head of family the family members of farmers have to face critical financial situation. The said scheme will be applicable for 24 hours of every day during the prescribed period. Farmers who are registered account holders and any 1 member of farmer's family who is not registered as registered account holder shall remain eligible for benefits under the scheme even if any of these persons suffer an accident or disability. There is no relevance of this scheme to any other such scheme which is implemented by any other institution or individual farmers. The benefit of this scheme is completely independent. To get the benefit of this scheme there is no need to submit any other documents than prescribed in the Government Resolution (G.R.). ﻿,The benefits in the form of compensation provided: ﻿ I)Death - Rs. 2 lakhs II) Disablement - Rs. 1 lakh /- or 2 lakhs a) Loss of one limb or one Eye - Rs. 1 Lakhs b) Loss of two limbs or two Eyes- Rs. 2 lakhs c) Loss of one limb and one Eye	 - Rs. 2 lakhs ﻿ ﻿,1) Registered farmer in the age group of 10 -75 years. 2) Person registered as farmer in Maharashtra as evidenced by 7/12 extract. 3) All 1.52 crore farmers of the state and one family member   from their family. ﻿,"1.	Concern accident farmer / heir of the farmer should submit complete claim proposal with all the prescribed documents to the concerned Taluka Agriculture Officer within 30 days. 2.	After receiving preliminary information about the accident victim, a team of concerned revenue officer, police officer, taluka agriculture officer should visit and submit the report to Tehsildar within 8 days from the occurrence of the incident. 3.	The Taluka Agriculture Officer should scrutinize the claim proposals received and submit the eligible claim proposals to the concerned Tehsildar. 4.	In the committee meeting under the chairmanship of Tehsildar, a decision will be taken within 30 days to provide assistance to the farmers / heirs of the farmer family and after that the funds will be paid through ECS to the bank account of the accident affected farmers / heirs through the concerned Taluka Agriculture Officer. ﻿","﻿ 1) Person registered as farmer in Maharashtra as evidenced by 7/12 extract. 2) Village form No. 6 – D (Fer-far). 3) Village form No. 6 – C. 4) Age proof evidence by birth certificate or School leaving certificate, etc 5) Death certificate 6) First Investigation Report (FIR) 7) Inquest Report / Panchnama 8) Post-Mortem Report / Panchnama 9) Viscera Report 10) Dis-ability Certificate ﻿",State,"Agriculture,Rural & Environment",,"Compensation, Person With Disability, General, Direct Benefit Transfer, Assistance, Farmer"
Grant In Aid To Old Age Home,gaoah,"The ""Grant in Aid to Old Age Home"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, grants are provided to the NGOs for accommodating old men and women, destitute, and disabled victims, into Old age Homes, and providing them with facilities such as food, accommodation, resort, Free lodging & Boarding & Medical Assistance, etc. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","In this scheme, grants are provided to the NGOs for accommodating old men and women, destitute, and disabled victims, into Old age Homes, and providing them with facilities such as food, accommodation, resort, Free lodging & Boarding & Medical Assistance, etc.","The applicant should be a registered Non-Governmental Organization (NGO). The applicant should only accommodate old/destitute/disabled victims. In the case of old men, the age should be 60 years and above. In the case of old women, the age should be 55 years and above. The old age person should be a citizen of India. The old age person should be a permanent resident of the state of Maharashtra.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of Age (Birth Certificate, etc). Any other document required by the District Social Welfare Office.",State,"Housing & Shelter, Social welfare & Empowerment",,"NGO, Old Age, Senior Citizen, Shelter, Social Welfare"
Group Supply Of Goats And Sheep,gsgos,"In Maharashtra, group supply of goat and sheep refers to a collective approach taken by small-scale farmers to supply their livestock to larger markets. These farmers form groups or cooperatives to pool their resources and negotiate better prices for their goats and sheep. ﻿ Group supply is often used for the purpose of reducing costs, improving access to markets, and promoting efficient utilization of resources. The species of goats and sheep commonly found in Maharashtra include Jamunapari, Beetal, and Sirohi, among others. Group supply of goats and sheep is an important aspect of the livestock industry in Maharashtra, contributing to both the economy and food security of the region. ﻿ The group supply system has several advantages for small-scale farmers, including reduced transportation costs, improved market access, and increased bargaining power. By working together, farmers can also share knowledge and resources, such as veterinary services and animal feed. ﻿ Overall, group supply of goat and sheep is an important component of the agricultural economy in Maharashtra, supporting small-scale farmers and providing a valuable source of meat to consumers. ﻿ ﻿ ﻿ ﻿","1.	Under this scheme, a group of 10 goats and 1 buck are provided to tribal beneficiaries on 50 percent subsidy. The price of the group is decided according to the prevailing rates of NABARD. ﻿ 2.	Supply of goat Units:- Under this scheme To increase the income source & to create employment in tribal areas to farmers/ beneficiaries. The goat units are provided to them. In year 2018-19 under this scheme total allocation of Rs. 369.22 lakhs has been proposed. ﻿",1.	Beneficiary should belong to Scheduled Tribe. 2.	Beneficiary should be below poverty line.,"Connect with Group Development Officer, Group Development Officer under Panchayat Samiti / and Zilla Parishad",1.	Aadhaar Card 2.	Caste Certificate 3. Income Certificate,State,"Business & Entrepreneurship, Skills & Employment",,"Tribal Scheme, Goat Supply, Sheep Supply, Maharashtra Scheme, State Scheme"
Homes For Intellectually Impaired Persons,hiip,"The ""Homes for Intellectually Impaired Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, Mentally Deficient Children who are in need of care and protection are admitted into shelter homes through the Child Welfare Committee of the district formed under the Juvenile Justice (Care & Protection of Children) Act 2000 and Amendment Act 2006. The numbers of MDC homes are 19 out of which 14 are granted and 5 are non-granted.","The Mentally Deficient Children who are in need of care and protection are admitted into shelter homes. There are free facilities of food, shelter, and care & protection are provided in these homes.",The applicant should be a citizen of India. The applicant should be an orphan. The applicant should be a permanent resident of Maharashtra State. The applicant should be a Mentally Deficient Child (MDC) who is in need of care and protection. The percentage of the disability should be 40% or above. ﻿ ﻿,"Step 1: Visit the Child Welfare Committee ﻿ ﻿ , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents at the office of the concerned Child Welfare Committee ﻿ ﻿ . Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the office.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Proof of Age (Birth Certificate, etc). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the Child Welfare Committee.",State,"Housing & Shelter, Social welfare & Empowerment",,"Child, Person With Disability, Shelter, Social Justice"
Incentive given to Encourage Inter caste Marriages,igteicm,"The ""Incentive for Encouraging Inter-Caste Marriages"" scheme is implemented by the Department of Social Justice & Special Assistance, Government of Maharashtra, and funded jointly by the State and Central Government (50:50). The scheme provides financial incentives to support inter-caste marriages between Savarna Hindus (including Hindu, Jain, Lingayat, and Sikh communities) and individuals from Scheduled Castes, Scheduled Tribes, Nomadic Tribes, Nomadic Castes, and Special Backward Classes. The scheme promotes social harmony and aims to eradicate untouchability. The bride as well as the bridegroom should be permanent residents of Maharashtra.","A financial assistance of ₹50,000/- issued as a joint draft in the names of both spouses.","The bride as well as the bridegroom should be permanent residents of Maharashtra. One spouse must belong to the Savarna, Hindu Lingayat, Jain, or Sikh community. One spouse must belong to one of the following communities: Scheduled Caste, Scheduled Tribe, Vimukta Jati (denoted tribe), Nomadic Tribe, and Special Backward Class. The male spouse should be 21 years or above in age. The female spouse should be 18 years or above in age.","Step 1: The interested applicant should visit (during office hours) the concerned District Social Welfare Office (or the Social Welfare Office in Chembur if the applicant is in Mumbai City or Mumbai Suburbs)  and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Application Form Caste Certificates Permanent Resident Proof Age Proof – School leaving certificates showing the groom is at least 21 years old and the bride is at least 18 years old. Joint Photograph – A recent photograph of the couple together. Recommendation Letters – Two letters from respected individuals attesting to the marriage. Bank Details – Joint bank account details in both spouses’ names. ID Proofs – Government-issued ID proof for both applicants (e.g., Aadhar card, Voter ID). Income Certificate – Income proof if applicable (to meet any scheme-specific income criteria). Acknowledgment Receipt – To be received from the office upon submission. ﻿",State,"Women and Child, Social welfare & Empowerment",,"Intercaste, Marriage, Financial Assistance, Bride, Groom"
Indira Gandhi National Disability Pension Scheme (Maharashtra),igndpsm,"The ""Indira Gandhi National Disability Pension Scheme (Maharashtra)"" is implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this scheme, differently-abled individuals aged 18 to 65 years with a disability of 80% and above are eligible to receive a pension of ₹600/- per month.",A monthly pension of ₹600/-.,The applicant should be a resident of Maharashtra. The applicant should be a person with a disability. The percentage of the disability should be 80% or more. The applicant’s age should be between 18 and 65 years. The applicant should not be receiving pension benefits under any other social security scheme.,"Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Aadhaar Card Passport-size Photograph Identity Proof i.e. Voter ID Card, Driving License Disability Certificate Proof of Age Caste Certificate, if Applicable Address Proof Bank Passbook/Bank Account Details Any Other Documents as Required",State,Social welfare & Empowerment,,"Disability, Pension, PwD, Handicapped"
Indira Gandhi National Old Age Pension Scheme (Maharashtra),igoapsm,"The scheme ""Indira Gandhi National Old Age Pension"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. In this scheme, ₹600 per month is provided to elderly individuals aged 65 years and above from BPL families.",A monthly financial assistance of ₹600/-.,The applicant should be a resident of Maharashtra. The applicant should be 65 years of age or older. The applicant should be from a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Aadhaar card of the applicant Passport-size photograph Identity proof i.e. Voter ID Card, Driving License Residence Proof Proof of age Below Poverty Line (BPL) Card/related documents Caste certificate, if applicable Address proof Bank Passbook/Bank account details Any other documents as required",State,Social welfare & Empowerment,,"Pension, Old Age, Below The Poverty Line, Senior Citizen, BPL"
Indira Gandhi National Widow Pension Scheme (Maharashtra),ignwpsm,"The scheme ""Indira Gandhi National Widow Pension Scheme (Maharashtra)"" is a social welfare scheme implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this Centrally Sponsored Scheme, widows aged 40 to 65 years who are from a Below Poverty Line family are eligible to receive ₹600/- per month as pension.",A monthly pension of ₹600/-. ﻿,The applicant should be a resident of Maharashtra. The applicant should be a widow. The age of the applicant should be between 40 and 65 years. The applicant should belong to a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Aadhaar Card Passport-size Photograph Identity Proof i.e. Voter ID Card, Driving License Death Certificate of Husband Residence Proof Proof of Age Below Poverty Line (BPL) Card/ Related Documents Caste Certificate, if Applicable Address Proof Bank Passbook/ Bank Account Details Any Other Documents as Required",State,Social welfare & Empowerment,,"Widow, Woman, Pension"
Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana,kvdgssy,"Being implemented particularly for the Scheduled Caste Communities, the ""Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The main objective of this scheme is to improve the financial condition of the scheduled castes and Nav-Buddhists who are landless workers and are from ""Below Poverty Line"". Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.",The beneficiary is provided with 2-acre irrigated land or 4-acre non-irrigated land on 50% of the subsidy and 50% is loan.,"The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State. The applicant should be in the 18 to 60 years age group. The applicant should be from Scheduled Caste or should be a Nav-Buddhists. The applicant should be landless. The applicant should be from the ""Below Poverty Line"" category.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","BPL Card Aadhaar Card. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc) 2-Passport Sized Photograph (Signed Across) Residential Certificate / Domicile Certificate of the State of Maharashtra. Caste Certificate and/or Certificate mentioning ""Nau Bouddha"" or ""Converted Buddhist"" or ""Neo Buddhist"" issued by the Revenue Department, Govt. of Maharashtra. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Social welfare & Empowerment",,"Loan, Subsidy, Below Poverty Line, Scheduled Caste, Financial Assistance"
Karmaveer Padmashri Dadasaheb Gaikwad Birth Centenary And Prize Distribution,kpdgbcpd,"The ""Karmaveer Padmashri Dadasaheb Gaikwad Birth Centenary and Prize Distribution"" is an award by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The award is given to individuals and organizations working for the social movement against traditional customs and untouchability and for landless farm workers. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","The person winning the award and his/her institute will get ₹51,000/- along with a memorabilia, shawl and coconut.","The applicant should have done a social movement work. The applicant should be from a Social Welfare Sector or Institute, and should be registered. The period of the Social Service by the applicant should be 15 years & above. For male applicants, the age should not be below 50 years. For female applicants, the age should not be below 40 years. The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Proof of Work Experience in the Social Welfare Sector. Proof of Registration from a Social Welfare Institute. Character Verification Report issued by the Superintendent of Police or the Police Commissioner. Aadhaar Card. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc) 2-Passport Sized Photograph (Signed Across) Residential Certificate / Domicile Certificate of the State of Maharashtra. Caste Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,Social welfare & Empowerment,,"Award, Untouchability, Social Welfare, Landless Farmer"
